"year","life.expectancy"
"2000","65.0"
"2001","65.1"
"2002","65.2"
"2003","65.4"
"2004","65.5"
"2005","65.6"
"2006","65.7"
"2007","65.8"
"2008","65.9"
"2009","66.0"
"2010","66.0"
"2011","66.1"
"2012","66.2"
"2013","66.3"
"2014","66.4"
"2015","66.5"
