"year","life.expectancy"
"2000","73.3"
"2001","73.4"
"2002","73.5"
"2003","73.5"
"2004","73.6"
"2005","73.7"
"2006","73.7"
"2007","73.8"
"2008","73.9"
"2009","74.0"
"2010","74.1"
"2011","74.2"
"2012","74.4"
"2013","74.5"
"2014","74.6"
"2015","74.7"
